,Symbol,Name
0,RELIANCE,Reliance Industries Limited
1,TCS,Tata Consultancy Services Limited
2,HDFCBANK,HDFC Bank Limited
3,ICICIBANK,ICICI Bank Limited
4,INFY,Infosys Limited
5,HINDUNILVR,Hindustan Unilever Limited
6,BHARTIARTL,Bharti Airtel Limited
7,ITC,ITC Limited
8,SBIN,State Bank of India
9,LICI,Life Insurance Corporation Of India
10,LT,Larsen & Toubro Limited
11,BAJFINANCE,Bajaj Finance Limited
12,HCLTECH,HCL Technologies Limited
13,KOTAKBANK,Kotak Mahindra Bank Limited
14,AXISBANK,Axis Bank Limited
15,ASIANPAINT,Asian Paints Limited
16,TITAN,Titan Company Limited
17,ADANIENT,Adani Enterprises Limited
18,MARUTI,Maruti Suzuki India Limited
19,ULTRACEMCO,UltraTech Cement Limited
20,SUNPHARMA,Sun Pharmaceutical Industries Limited
21,NTPC,NTPC Limited
22,BAJAJFINSV,Bajaj Finserv Limited
23,DMART,Avenue Supermarts Limited
24,TATAMOTORS,Tata Motors Limited
25,ONGC,Oil & Natural Gas Corporation Limited
26,NESTLEIND,Nestle India Limited
27,ADANIGREEN,Adani Green Energy Limited
28,WIPRO,Wipro Limited
29,COALINDIA,Coal India Limited
30,ADANIPORTS,Adani Ports and Special Economic Zone Limited
31,POWERGRID,Power Grid Corporation of India Limited
32,JSWSTEEL,JSW Steel Limited
33,M&M,Mahindra & Mahindra Limited
34,ADANIPOWER,Adani Power Limited
35,BAJAJ-AUTO,Bajaj Auto Limited
36,HAL,Hindustan Aeronautics Limited
37,LTIM,LTIMindtree Limited
38,IOC,Indian Oil Corporation Limited
39,DLF,DLF Limited
40,TATASTEEL,Tata Steel Limited
41,VBL,Varun Beverages Limited
42,JIOFIN,Jio Financial Services Limited
43,SBILIFE,SBI Life Insurance Company Limited
44,SIEMENS,Siemens Limited
45,GRASIM,Grasim Industries Limited
46,HDFCLIFE,HDFC Life Insurance Company Limited
47,HINDALCO,Hindalco Industries Limited
48,PIDILITIND,Pidilite Industries Limited
49,BEL,Bharat Electronics Limited
50,HINDZINC,Hindustan Zinc Limited
51,IRFC,Indian Railway Finance Corporation Limited
52,BRITANNIA,Britannia Industries Limited
53,PFC,Power Finance Corporation Limited
54,INDUSINDBK,IndusInd Bank Limited
55,TECHM,Tech Mahindra Limited
56,BANKBARODA,Bank of Baroda
57,ADANIENSOL,Adani Energy Solutions Limited
58,GODREJCP,Godrej Consumer Products Limited
59,INDIGO,InterGlobe Aviation Limited
60,EICHERMOT,Eicher Motors Limited
61,RECLTD,REC Limited
62,ATGL,Adani Total Gas Limited
63,TRENT,Trent Limited
64,ZOMATO,Zomato Limited
65,GAIL,GAIL (India) Limited
66,TATAPOWER,Tata Power Company Limited
67,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
68,PNB,Punjab National Bank
69,DIVISLAB,Divi's Laboratories Limited
70,AMBUJACEM,Ambuja Cements Limited
71,SHREECEM,SHREE CEMENT LIMITED
72,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
73,CIPLA,Cipla Limited
74,ABB,ABB India Limited
75,DABUR,Dabur India Limited
76,LODHA,Macrotech Developers Limited
77,BPCL,Bharat Petroleum Corporation Limited
78,DRREDDY,Dr. Reddy's Laboratories Limited
79,TVSMOTOR,TVS Motor Company Limited
80,VEDL,Vedanta Limited
81,UNIONBANK,Union Bank of India
82,HAVELLS,Havells India Limited
83,BAJAJHLDNG,Bajaj Holdings & Investment Limited
84,HEROMOTOCO,Hero MotoCorp Limited
85,POLYCAB,Polycab India Limited
86,APOLLOHOSP,Apollo Hospitals Enterprise Limited
87,IOB,Indian Overseas Bank
88,MCDOWELL-N,United Spirits Limited
89,MANKIND,Mankind Pharma Limited
90,CANBK,Canara Bank
91,TORNTPHARM,Torrent Pharmaceuticals Limited
92,IDEA,Vodafone Idea Limited
93,SHRIRAMFIN,Shriram Finance Limited
94,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
95,JINDALSTEL,Jindal Steel & Power Limited
96,SRF,SRF Limited
97,IDBI,IDBI Bank Limited
98,SBICARD,SBI Cards and Payment Services Limited
99,IRCTC,Indian Railway Catering And Tourism Corporation Limited
100,MARICO,Marico Limited
101,BERGEPAINT,Berger Paints (I) Limited
102,ICICIGI,ICICI Lombard General Insurance Company Limited
103,ZYDUSLIFE,Zydus Lifesciences Limited
104,CGPOWER,CG Power and Industrial Solutions Limited
105,MOTHERSON,Samvardhana Motherson International Limited
106,COLPAL,Colgate Palmolive (India) Limited
107,TIINDIA,Tube Investments of India Limited
108,HDFCAMC,HDFC Asset Management Company Limited
109,BHEL,Bharat Heavy Electricals Limited
110,JSWENERGY,JSW Energy Limited
111,MAXHEALTH,Max Healthcare Institute Limited
112,NAUKRI,Info Edge (India) Limited
113,BOSCHLTD,Bosch Limited
114,NHPC,NHPC Limited
115,AUROPHARMA,Aurobindo Pharma Limited
116,IDFCFIRSTB,IDFC First Bank Limited
117,INDHOTEL,The Indian Hotels Company Limited
118,ALKEM,Alkem Laboratories Limited
119,YESBANK,Yes Bank Limited
120,NMDC,NMDC Limited
121,SOLARINDS,Solar Industries India Limited
122,LUPIN,Lupin Limited
123,MUTHOOTFIN,Muthoot Finance Limited
124,SUPREMEIND,Supreme Industries Limited
125,BHARATFORG,Bharat Forge Limited
126,PATANJALI,Patanjali Foods Limited
127,PERSISTENT,Persistent Systems Limited
128,INDIANB,Indian Bank
129,HINDPETRO,Hindustan Petroleum Corporation Limited
130,PGHH,Procter & Gamble Hygiene and Health Care Limited
131,GODREJPROP,Godrej Properties Limited
132,LTTS,L&T Technology Services Limited
133,MRF,MRF Limited
134,TATAELXSI,Tata Elxsi Limited
135,CUMMINSIND,Cummins India Limited
136,GICRE,General Insurance Corporation of India
137,INDUSTOWER,Indus Towers Limited
138,PIIND,PI Industries Limited
139,ASHOKLEY,Ashok Leyland Limited
140,AUBANK,AU Small Finance Bank Limited
141,OBEROIRLTY,Oberoi Realty Limited
142,CONCOR,Container Corporation of India Limited
143,FACT,Fertilizers and Chemicals Travancore Limited
144,SUZLON,Suzlon Energy Limited
145,MPHASIS,MphasiS Limited
146,BANKINDIA,Bank of India
147,ASTRAL,Astral Limited
148,SAIL,Steel Authority of India Limited
149,TATACOMM,Tata Communications Limited
150,SCHAEFFLER,Schaeffler India Limited
151,BALKRISIND,Balkrishna Industries Limited
152,NYKAA,FSN E-Commerce Ventures Limited
153,GMRINFRA,GMR Airports Infrastructure Limited
154,LINDEINDIA,Linde India Limited
155,TATATECH,Tata Technologies Limited
156,UCOBANK,UCO Bank
157,PRESTIGE,Prestige Estates Projects Limited
158,UBL,United Breweries Limited
159,JSL,Jindal Stainless Limited
160,AWL,Adani Wilmar Limited
161,MAZDOCK,Mazagon Dock Shipbuilders Limited
162,TORNTPOWER,Torrent Power Limited
163,UPL,UPL Limited
164,JSWINFRA,JSW Infrastructure Limited
165,CENTRALBK,Central Bank of India
166,ABCAPITAL,Aditya Birla Capital Limited
167,PAGEIND,Page Industries Limited
168,DALBHARAT,Dalmia Bharat Limited
169,APLAPOLLO,APL Apollo Tubes Limited
170,3MINDIA,3M India Limited
171,ACC,ACC Limited
172,KPITTECH,KPIT Technologies Limited
173,L&TFH,L&T Finance Holdings Limited
174,FLUOROCHEM,Gujarat Fluorochemicals Limited
175,OIL,Oil India Limited
176,PAYTM,One 97 Communications Limited
177,PHOENIXLTD,The Phoenix Mills Limited
178,UNOMINDA,UNO Minda Limited
179,DIXON,Dixon Technologies (India) Limited
180,SUNDARMFIN,Sundaram Finance Limited
181,BANDHANBNK,Bandhan Bank Limited
182,COFORGE,Coforge Limited
183,FEDERALBNK,The Federal Bank  Limited
184,RVNL,Rail Vikas Nigam Limited
185,SONACOMS,Sona BLW Precision Forgings Limited
186,JUBLFOOD,Jubilant Foodworks Limited
187,COROMANDEL,Coromandel International Limited
188,THERMAX,Thermax Limited
189,OFSS,Oracle Financial Services Software Limited
